name,Control,H3.3 KD1,RefID
Pcyt1a,K4,K4,NM_001163159
Fnbp1l,K4,K4,NM_153118
Plekho2,K4,K4,NM_153119
Cadm4,K4,K4,NM_153112
Gtpbp10,K4,K4,NM_153116
9530068E07Rik,K4,K4,NM_153117
Otos,K4,K4,NM_153114
Slc35d2,K4,K4,NM_001001321
Vkorc1l1,K4,K4,NM_001001327
Ugcg,K4,K4,NM_011673
Brd3,K4,K4,NM_023336
Mrpl46,K4,K4,NM_023331
Pnp2,K4,K4,NM_001123371
Abcd3,K4,K4,NM_008991
Nectin2,K4,K4,NM_008990
Pxmp2,K4,K4,NM_008993
Abcd4,K4,K4,NM_008992
Pex5,K4,K4,NM_008995
Rab11b,K4,K4,NM_008997
Rab1a,K4,K4,NM_008996
Rab23,K4,K4,NM_008999
Rab17,K4,K4,NM_008998
Git2,K4,K4,NM_001077359
Nexmif,K4,K4,NM_001077354
Pwwp2b,K4,K4,NM_001098636
Anxa6,K4,K4,NM_013472
Anxa8,K4,K4,NM_013473
Anxa4,K4,K4,NM_013471
Ar,K4,K4,NM_013476
Atp6v0d1,K4,K4,NM_013477
Apoa2,K4,K4,NM_013474
Pak6,K4,K4,NM_001033254
Phactr2,K4,K4,NM_001033257
Plekhg1,K4,K4,NM_001033253
Mcu,K4,K4,NM_001033259
Timm21,K4,K4,NM_025969
Ptgr1,K4,K4,NM_025968
Ssr1,K4,K4,NM_025965
Mettl21a,K4,K4,NM_025964
D16Ertd472e,K4,K4,NM_025967
2310039H08Rik,K4,K4,NM_025966
Trappc6a,K4,K4,NM_025960
Rps10,K4,K4,NM_025963
Mmachc,K4,K4,NM_025962
Ppara,K4,K4,NM_011144
Ppard,K4,K4,NM_011145
Cox6b2,K4,K4,NM_183406
Polr2c,K4,K4,NM_009090
Rps6,K4,K4,NM_009096
Exosc9,K4,K4,NM_019393
Tyro3,K4,K4,NM_019392
Ltv1,K4,K4,NM_181470
Acbd5,K4,K4,NM_001102437
Acbd5,K4,K4,NM_001102436
Egfl6,K4,K4,NM_019397
Spred3,K4,K4,NM_182927
Adm2,K4,K4,NM_182928
Acbd5,K4,K4,NM_001102438
Rasgrp3,K4,K4,NM_207246
Zfp870,K4,K4,NM_207245
Npc1l1,K4,,NM_207242
Ssbp3,K4,K4,NM_198438
Chpt1,K4,K4,NM_144807
Mlx,K4,K4,NM_001159385
Mlx,K4,K4,NM_001159384
Exoc6b,K4,K4,NM_177077
Prdm9,K4,K4,NM_144809
Svip,K4,K4,NM_001160345
Asphd1,K4,K4,NM_001039645
Edem3,K4,K4,NM_001039644
Cnot3,K4,K4,NM_146176
Kmt5c,K4,K4,NM_146177
Tcaf2,K4,K4,NM_146174
Zfp282,K4,K4,NM_146175
Tspan33,K4,K4,NM_146173
C87436,K4,K4,NM_146170
Ncapd2,K4,K4,NM_146171
Ccdc106,K4,K4,NM_146178
Zfp418,K4,K4,NM_146179
Cnrip1,K4,K4,NM_029861
Sept8,K4,K4,NM_033144
Emc9,K4,K4,NM_033146
B3galt5,K4,K4,NM_033149
Ndrg2,K4,K4,NM_001145959
Crocc,K4,K4,NM_001145958
Phactr3,K4,K4,NM_001007154
5730409E04Rik,K4,K4,NM_001145950
Lgals3,K4,K4,NM_001145953
Lpp,K4,K4,NM_001145952
Pigv,K4,K4,NM_001145955
Vwa5a,K4,K4,NM_001145957
Pigv,K4,K4,NM_001145956
Mier1,K4,K4,NM_027696
Pum1,K4,K4,NM_001159604
Pum1,K4,K4,NM_001159605
Pum1,K4,K4,NM_001159606
Pum1,K4,K4,NM_001159603
Lrrc57,K4,K4,NM_001159609
Fut10,K4,K4,NM_001012517
Ptk2,K4,K4,NM_001130409
Arf1,K4,K4,NM_001130408
Ehmt1,K4,K4,NM_001012518
Alg12,K4,K4,NM_001142357
Ift122,K4,K4,NM_031177
Tnxb,K4,K4,NM_031176
Cacnb1,K4,K4,NM_031173
Trim17,K4,K4,NM_031172
Krt8,K4,K4,NM_031170
Sf3b1,K4,K4,NM_031179
Ttll1,K4,K4,NM_178869
Acadvl,K4,K4,NM_017366
