name,Control,H3.3 KD1,RefID
Plcb1,K4K27,K4,NM_019677
Rb1,K4K27,K4,NM_009029
Rasgrf2,K4K27,K4,NM_009027
Aldh1a2,K4K27,K4K27,NM_009022
Camk4,K4K27,K4K27,NM_009793
Ddx25,K4K27,K4K27,NM_013932
Hacd1,K4K27,K4K27,NM_013935
P2ry2,K4K27,K4,NM_008773
P2ry1,K4K27,K4K27,NM_008772
Gm17762,K4K27,K4K27,NR_028378
A930004D18Rik,K4K27,K4K27,NR_028376
A930004D18Rik,K4K27,K4K27,NR_028377
Col27a1,K4K27,K4K27,NM_025685
Tex12,K4K27,K4K27,NM_025687
Sept5,K4K27,K4,NM_213614
Optc,K4K27,K4K27,NM_001160420
Optc,K4K27,K4K27,NM_001160421
Optc,K4K27,K4K27,NM_001160422
Car11,K4K27,K4K27,NM_009800
Chsy3,K4K27,K4,NM_001081328
Spock3,K4K27,K4K27,NM_023689
B830017H08Rik,K4K27,K4K27,NR_027959
Pag1,K4K27,K4K27,NM_053182
Srd5a2,K4K27,K4K27,NM_053188
Cxxc4,K4K27,K4K27,NM_001004367
Ism1,K4K27,K4K27,NM_001126490
Zmynd11,K4K27,K4,NM_144516
Ddx52,K4K27,K4,NM_030096
Calhm6,K4K27,K4,NM_175449
Foxj2,K4K27,K4,NM_021899
Fads3,K4K27,K4,NM_021890
Anks6,K4K27,K4,NM_001024136
Gpr139,K4K27,K4,NM_001024138
Stox2,K4K27,K4,NM_001114311
Shtn1,K4K27,K4,NM_001114312
Jhy,K4K27,K4K27,NM_001081121
Fam89a,K4K27,K4,NM_001081120
Gli2,K4K27,K4K27,NM_001081125
Map7d2,K4K27,K4,NM_001081124
Mafb,K4K27,K4,NM_010658
Plxnc1,K4K27,K4,NM_018797
Atxn7l3b,K4K27,K4K27,NM_001033474
Ptpro,K4K27,K4,NM_011216
Ptpre,K4K27,K4,NM_011212
Slc7a8,K4K27,K4K27,NM_016972
Gja3,K4K27,K4K27,NM_016975
Grm1,K4K27,K4K27,NM_016976
Atoh1,K4K27,K4K27,NM_007500
Arid3c,K4K27,K4,NM_001017362
Ephx4,K4K27,K4K27,NM_001001804
Hmx3,K4K27,K4K27,NM_008257
Hmgb3,K4K27,K4K27,NM_008253
Hlx,K4K27,K4K27,NM_008250
Foxa1,K4K27,K4K27,NM_008259
Hectd2,K4K27,K4K27,NM_001163471
Cacna1h,K4K27,K4,NM_021415
Ahcyl2,K4K27,K4,NM_021414
Fam184b,K4K27,K4K27,NM_021416
Gsg1l,K4K27,K4,NM_001101488
Slc35g2,K4K27,K4,NM_001101483
Ltk,K4K27,K4,NM_203345
Slc4a4,K4K27,K4,NM_001136260
Prr5l,K4K27,K4,NM_175181
Iqcb1,K4K27,K4K27,NM_177128
Mboat1,K4K27,K4K27,NM_153546
Epb41,K4K27,K4K27,NM_001128606
Rhoj,K4K27,K4,NM_023275
Pcdhac1,K4K27,K4,NM_001003671
Pcdhac2,K4K27,K4K27,NM_001003672
Meis2,K4K27,K4K27,NM_001159570
Mir449c,K4K27,K4K27,NR_030452
Nxf2,K4K27,K4,NM_031259
Plekha2,K4K27,K4,NM_031257
Cxcl14,K4K27,K4,NM_019568
Cited4,K4K27,K4,NM_019563
Slc25a21,K4K27,K4K27,NM_172577
Htra1,K4K27,K4,NM_019564
Slc22a3,K4K27,K4,NM_011395
Hdgfl3,K4K27,K4K27,NM_013886
Cspg5,K4K27,K4,NM_013884
Ulk2,K4K27,K4K27,NM_013881
Plcl2,K4K27,K4K27,NM_013880
Otx1,K4K27,K4K27,NM_011023
Otp,K4K27,K4K27,NM_011021
Hspa4l,K4K27,K4K27,NM_011020
Kcns2,K4K27,K4,NM_181317
Zmiz1,K4K27,K4,NM_183208
Rnf182,K4K27,K4K27,NM_183204
Dpf3,K4K27,K4K27,NM_058212
Kcnq5,K4K27,K4,NM_001160139
Mto1,K4K27,K4,NM_026658
Vwa5b2,K4K27,K4,NM_182636
4930412O13Rik,K4K27,K4K27,NR_024257
Sidt1,K4K27,K4K27,NM_198034
Alx1,K4K27,K4K27,NM_172553
Zdhhc17,K4K27,K4K27,NM_172554
Usb1,K4K27,K4,NM_133954
Prrx1,K4K27,K4K27,NM_175686
Hs3st2,K4K27,K4K27,NM_001081327
Kcnj6,K4K27,K4,NM_001025585
Kcnj6,K4K27,K4,NM_001025584
Kcnc2,K4K27,K4K27,NM_001025581
Spo11,K4K27,K4,NM_012046
St5,K4K27,K4,NM_029811
Csf1,K4K27,K4,NM_001113530
Syt7,K4K27,K4,NM_173067
Rgs6,K4K27,K4K27,NM_015812
Il6ra,K4K27,K4,NM_010559
Cdx1,K4K27,K4,NM_009880
Bdnf,K4K27,K4,NM_001048139
Spock1,K4K27,K4K27,NM_009262
Dlg5,K4K27,K4,NM_027726
Fmn1,K4K27,K4,NM_010230
Mroh5,K4K27,K4,NM_001033365
Rgs20,K4K27,K4K27,NM_021374
Sorcs1,K4K27,K4K27,NM_021377
Trim67,K4K27,K4K27,NM_198632
B3galnt1,K4K27,K4K27,NM_020026
Mos,K4K27,K4,NM_020021
Adgrv1,K4K27,K4,NM_054053
Ankrd63,K4K27,K4K27,NM_001081971
Arhgef40,K4K27,K4,NM_198249
Rfxap,K4K27,K4,NM_133231
Pfkfb3,K4K27,K4K27,NM_133232
Khdrbs2,K4K27,K4K27,NM_133235
Glcci1,K4K27,K4,NM_133236
Rtn4rl2,K4K27,K4K27,NM_199223
Lhx9,K4K27,K4K27,NM_001042577
Synj2,K4K27,K4,NM_001113352
Synj2,K4K27,K4,NM_001113353
Parm1,K4K27,K4K27,NM_145562
Pcdhgb5,K4K27,K4,NM_033577
Pcdhgb4,K4K27,K4,NM_033576
Tal1,K4K27,K4K27,NM_011527
Syngr3,K4K27,K4,NM_011522
Sdc3,K4K27,K4,NM_011520
Kif21b,K4K27,K4,NM_001039472
C130074G19Rik,K4K27,K4,NM_178692
Robo3,K4K27,K4,NM_001164767
Bcl2,K4K27,K4,NM_177410
Gabrb3,K4K27,K4K27,NM_001038701
Disc1,K4K27,K4K27,NM_174854
Disc1,K4K27,K4K27,NM_174853
Gjb2,K4K27,K4K27,NM_008125
Vgll2,K4K27,K4K27,NM_153786
Slc43a1,K4K27,K4,NM_001083809
Gria2,K4K27,K4K27,NM_001083806
1700025G04Rik,K4K27,K4K27,NM_197990
Mir132,K4K27,K4,NR_029546
Mir9-2,K4K27,K4,NR_029545
Hoxb4,K4K27,K4K27,NM_010459
Hoxb3,K4K27,K4K27,NM_010458
Hoxa2,K4K27,K4K27,NM_010451
Hoxa11,K4K27,K4K27,NM_010450
Hoxa5,K4K27,K4K27,NM_010453
Hoxa7,K4K27,K4K27,NM_010455
Hoxa6,K4K27,K4K27,NM_010454
Hoxa9,K4K27,K4K27,NM_010456
Eml1,K4K27,K4K27,NM_001043335
Itga4,K4K27,K4K27,NM_010576
Nlrp6,K4K27,K4,NM_001081389
Prdm6,K4K27,K4K27,NM_001033281
Slc9a2,K4K27,K4,NM_001033289
Sbspon,K4K27,K4,NM_001033288
Nudt10,K4K27,K4,NM_001031664
Mia2,K4K27,K4,NM_001165253
Mia2,K4K27,K4K27,NM_001165254
Sowahb,K4K27,K4,NM_175270
Fhod3,K4K27,K4K27,NM_175276
Gm13889,K4K27,K4,NM_001145034
Lor,K4K27,K4K27,NM_008508
Lpl,K4K27,K4K27,NM_008509
Ptpdc1,K4K27,K4K27,NM_207232
Slc30a2,K4K27,K4,NM_001039677
Dlgap2,K4K27,K4K27,NM_001145965
Bhlhe23,K4K27,K4K27,NM_080641
Zfp703,K4K27,K4K27,NM_001110508
Map3k21,K4K27,K4K27,NM_145608
Cnih3,K4K27,K4K27,NM_028408
Ptpn21,K4K27,K4K27,NM_011877
Zpbp2,K4K27,K4K27,NM_199419
Mei1,K4K27,K4K27,NM_028897
Hoxc5,K4K27,K4K27,NM_175730
Myo1b,K4K27,K4,NM_001161817
Barx2,K4K27,K4K27,NM_013800
Plekhh2,K4K27,K4K27,NM_177606
Sema3a,K4K27,K4,NM_009152
Neo1,K4K27,K4K27,NM_008684
Nfib,K4K27,K4K27,NM_008687
Ndrg1,K4K27,K4,NM_008681
Apba2,K4K27,K4,NM_007461
Myo5a,K4K27,K4,NM_010864
Myo1b,K4K27,K4,NM_010863
Il15ra,K4K27,K4K27,NM_008358
Il12rb2,K4K27,K4K27,NM_008354
Mcub,K4K27,K4,NM_025779
Duoxa2,K4K27,K4K27,NM_025777
Hcfc2,K4K27,K4,NM_001081218
Rnf227,K4K27,K4K27,NR_027827
Pantr1,K4K27,K4K27,NR_027826
Cdc42ep1,K4K27,K4,NM_027219
Rbm11,K4K27,K4,NM_198302
Otulinl,K4K27,K4,NM_198301
Tmem114,K4K27,K4,NM_029070
Stx11,K4K27,K4K27,NM_029075
Rabl6,K4K27,K4,NM_001024616
Tdrkh,K4K27,K4K27,NM_028307
Atp8b1,K4K27,K4K27,NM_001001488
Clcf1,K4K27,K4,NM_019952
Meis2,K4K27,K4K27,NM_001159568
Fam162b,K4K27,K4,NM_029894
Meis2,K4K27,K4K27,NM_001159567
Trim9,K4K27,K4,NM_001110203
Trim9,K4K27,K4,NM_001110202
Ccdc177,K4K27,K4,NM_001008423
Ppfia2,K4K27,K4,NM_177373
Rnf150,K4K27,K4K27,NM_177378
Lpcat2,K4K27,K4,NM_173014
Rerg,K4K27,K4K27,NM_001164212
Sptssb,K4K27,K4,NM_001164210
Rerg,K4K27,K4K27,NM_001164214
Olfr1419,K4K27,K4,NM_001011775
Pbx3,K4K27,K4K27,NM_016768
Lamp5,K4K27,K4,NM_029530
Pard3b,K4K27,K4K27,NM_001081050
Mcur1,K4K27,K4,NM_001081059
Esrrg,K4K27,K4,NM_011935
Esrrb,K4K27,K4K27,NM_011934
Fam135b,K4K27,K4,NM_177819
Rapgef4,K4K27,K4K27,NM_019688
Ncs1,K4K27,K4,NM_019681
Marcks,K4K27,K4,NM_008538
Prkce,K4K27,K4K27,NM_011104
Otx2,K4K27,K4K27,NM_144841
Apba1,K4K27,K4K27,NM_177034
Vwc2,K4K27,K4,NM_177033
Atp10a,K4K27,K4K27,NM_009728
Dlx5,K4K27,K4K27,NM_198854
Tnfrsf19,K4K27,K4,NM_001164155
Cav1,K4K27,K4K27,NM_007616
P3h2,K4K27,K4K27,NM_173379
Igf2bp3,K4K27,K4,NM_023670
E2f6,K4K27,K4K27,NR_027677
Mpped1,K4K27,K4K27,NM_172610
Rbfox3,K4K27,K4,NM_001039168
Rbfox3,K4K27,K4,NM_001039167
Plcl1,K4K27,K4K27,NM_001114663
Mfsd4a,K4K27,K4K27,NM_001114662
Rgmb,K4K27,K4K27,NM_178615
Abhd3,K4K27,K4K27,NM_134130
Ccdc158,K4K27,K4,NM_177230
Stard4,K4K27,K4K27,NM_133774
A930011G23Rik,K4K27,K4K27,NR_030692
Cadps2,K4K27,K4K27,NM_153163
Cpne5,K4K27,K4,NM_153166
Zfp9,K4K27,K4K27,NM_011763
Zfpm2,K4K27,K4K27,NM_011766
Pcdh7,K4K27,K4K27,NM_018764
Chst2,K4K27,K4K27,NM_018763
Slc4a4,K4K27,K4,NM_018760
Faah,K4K27,K4,NM_010173
F3,K4K27,K4,NM_010171
Slc39a8,K4K27,K4K27,NM_026228
Ankib1,K4K27,K4,NM_001003909
Fam83f,K4K27,K4,NM_145986
Ankrd44,K4K27,K4,NM_001081433
Zhx1,K4K27,K4K27,NM_001042438
Slc7a10,K4K27,K4K27,NM_017394
Olfm2,K4K27,K4K27,NM_173777
Dipk1c,K4K27,K4K27,NM_173770
Satb2,K4K27,K4K27,NM_139146
Slc6a20a,K4K27,K4K27,NM_139142
Tbx4,K4K27,K4,NM_172798
Sarm1,K4K27,K4,NM_172795
Mmp28,K4K27,K4,NM_172797
Slc24a2,K4K27,K4K27,NM_172426
Plppr4,K4K27,K4K27,NM_177664
Slc7a6,K4K27,K4,NM_178798
Vstm4,K4K27,K4,NM_178791
Zfp872,K4K27,K4,NM_001033813
Grk4,K4K27,K4,NM_001080743
Tnik,K4K27,K4,NM_001163007
Cdh18,K4K27,K4K27,NM_001081299
Arhgef26,K4K27,K4K27,NM_001081295
Cxcl16,K4K27,K4,NM_023158
Ess2,K4K27,K4,NM_022408
Nr4a2,K4K27,K4K27,NM_013613
Dgat2,K4K27,K4,NM_026384
Greb1l,K4K27,K4K27,NM_001083628
Arhgap20,K4K27,K4,NM_175535
Fbxo46,K4K27,K4K27,NM_175530
Brinp3,K4K27,K4,NM_001145807
Pphln1,K4K27,K4,NM_146062
Kif26b,K4K27,K4,NM_001161665
Nkapl,K4K27,K4K27,NM_025719
St8sia2,K4K27,K4K27,NM_009181
Pgr,K4K27,K4,NM_008829
Lipg,K4K27,K4K27,NM_010720
Lmx1b,K4K27,K4K27,NM_010725
Lox,K4K27,K4,NM_010728
Tmem74b,K4K27,K4K27,NM_001160363
A830018L16Rik,K4K27,K4,NM_001160369
Rnf152,K4K27,K4,NM_001160368
Apoo-ps,K4K27,K4,NR_004438
Ret,K4K27,K4,NM_009050
Dubr,K4K27,K4,NR_028300
Chl1,K4K27,K4,NM_007697
C2cd4b,K4K27,K4,NM_001081314
Nr2f2,K4K27,K4K27,NM_183261
2810459M11Rik,K4K27,K4K27,NM_001144992
2810459M11Rik,K4K27,K4K27,NM_001144993
Elavl2,K4K27,K4K27,NM_207686
Csmd1,K4K27,K4K27,NM_053171
B3gat2,K4K27,K4K27,NM_172124
Nbea,K4K27,K4K27,NM_030595
Megf9,K4K27,K4,NM_172694
Phf24,K4K27,K4K27,NM_172690
Magi3,K4K27,K4K27,NM_133853
Fezf1,K4K27,K4K27,NM_028462
Pear1,K4K27,K4,NM_028460
Nrip3,K4K27,K4K27,NM_020610
Akip1,K4K27,K4,NM_020616
Vldlr,K4K27,K4K27,NM_001161420
Kctd1,K4K27,K4K27,NM_001142731
Anp32a,K4K27,K4K27,NM_009672
Gria4,K4K27,K4K27,NM_001113181
Gria4,K4K27,K4K27,NM_001113180
Irx5,K4K27,K4,NM_018826
Crlf1,K4K27,K4,NM_018827
Nkx2-1,K4K27,K4K27,NM_009385
Nfix,K4K27,K4,NM_010906
Nfia,K4K27,K4K27,NM_010905
Nefh,K4K27,K4,NM_010904
Ccser1,K4K27,K4K27,NM_001164316
Dmbx1,K4K27,K4K27,NM_130865
Baiap2,K4K27,K4,NM_130862
Aqp3,K4K27,K4,NM_016689
Cds1,K4K27,K4K27,NM_173370
Trnp1,K4K27,K4,NM_001081156
Dpy19l2,K4K27,K4,NM_001166207
Cdkn2a,K4K27,K4K27,NM_009877
Dll1,K4K27,K4K27,NM_007865
Dlx4,K4K27,K4K27,NM_007867
3110039M20Rik,K4K27,K4K27,NR_026733
Fbxl7,K4K27,K4K27,NM_176959
Robo1,K4K27,K4,NM_019413
Galnt14,K4K27,K4,NM_027864
Rab20,K4K27,K4K27,NM_011227
Hcrtr1,K4K27,K4,NM_198959
Ikzf1,K4K27,K4K27,NM_009578
Zic2,K4K27,K4K27,NM_009574
Zic4,K4K27,K27,NM_009576
Zhx1,K4K27,K4K27,NM_009572
Zic1,K4K27,K4K27,NM_009573
Slc6a5,K4K27,K4,NM_001146013
H2-Bl,K4K27,K4,NM_008199
Hdac2,K4K27,K4K27,NM_008229
Oxr1,K4K27,K4,NM_001130166
Kcnip3,K4K27,K4,NM_001111331
Fam155a,K4K27,K4,NM_173446
Ephb1,K4K27,K4K27,NM_173447
Gcnt1,K4K27,K4,NM_173442
Ripor2,K4K27,K4K27,NM_029679
Sel1l3,K4K27,K4K27,NM_172710
Gpat3,K4K27,K4,NM_172715
Esyt3,K4K27,K4,NM_177775
Plscr4,K4K27,K4,NM_178711
Sik2,K4K27,K4,NM_178710
Rxfp3,K4K27,K4,NM_178717
Tmem30b,K4K27,K4,NM_178715
Lrfn5,K4K27,K4K27,NM_178714
A830018L16Rik,K4K27,K4,NM_177173
Tmem215,K4K27,K4K27,NM_177175
Spo11,K4K27,K4,NM_001083960
Malt1,K4K27,K4K27,NM_172833
Adad1,K4K27,K4K27,NM_009350
Eya1,K4K27,K4K27,NM_010164
Prickle1,K4K27,K4,NM_001033217
Grb10,K4K27,K4K27,NM_010345
Gpr50,K4K27,K4,NM_010340
Npbwr1,K4K27,K4K27,NM_010342
Grik2,K4K27,K4K27,NM_010349
Grik1,K4K27,K4,NM_010348
Nkx2-1,K4K27,K4K27,NM_001146198
Ptpn21,K4K27,K4K27,NM_001146199
Scin,K4K27,K4,NM_001146196
Phlda2,K4K27,K4,NM_009434
Pcdha6,K4K27,K4,NM_007767
Pcdha4,K4K27,K4K27,NM_007766
Crhr1,K4K27,K4K27,NM_007762
Ddx4,K4K27,K4K27,NM_001145885
Sgpp1,K4K27,K4,NM_030750
Pcdh1,K4K27,K4,NM_029357
Boc,K4K27,K4K27,NM_172506
Sh3bgrl2,K4K27,K4K27,NM_172507
9330158H04Rik,K4K27,K4K27,NR_015589
4932441J04Rik,K4K27,K4K27,NR_015588
Zkscan16,K4K27,K4,NM_001099323
Maf,K4K27,K4,NM_001025577
Ankrd12,K4K27,K4,NM_001025572
Prrx1,K4K27,K4K27,NM_001025570
Npr3,K4K27,K4,NM_008728
Ctnnd2,K4K27,K4K27,NM_008729
Npr1,K4K27,K4,NM_008727
Gata2,K4K27,K4,NM_008090
